Caso,Δt,error,mu_mx,K_N,Y_NB,bet_mx,K_S,Y_SE,err_q.global,pRMSD.C_B,pRMSD.C_N,pRMSD.C_S,pRMSD.C_E,npRMSD.C_B,npRMSD.C_N,npRMSD.C_S,npRMSD.C_E,Regr_P.C_B,Regr_P.C_N,Regr_P.C_S,Regr_P.C_E,LackAdj_P.C_B,LackAdj_P.C_N,LackAdj_P.C_S,LackAdj_P.C_E,scal.mu_mx,scal.K_N,scal.Y_NB,scal.bet_mx,scal.K_S,scal.Y_SE,Solver,Slvr.ID,DEoptim.itmx,Slvr.Msg,Slvr.FuncEvs,n_iter/n_EvalFnc,t_com [s],CAS Notas
EM12e005,12,005,0.117778761305057,0.0084571910595279,0.032306425119723,0.692354765268056,20.4392130737985,1.78313108970939,145.329202623577,0.0672604592208948,0.0011980889993216,2.88534141168636,1.77567312945138,0.0272521431404616,0.0134575991033273,0.0258852545024985,0.0280495693011936,2.0702403379983e-09,1.85946682944862e-10,4.45276188672326e-08,4.16528185174616e-13,0.401621588131851,0.252497613987967,0.614784060908026,0.0443656607985667,1,1000,100,1,1,1,L-BFGS-B,1,,ERROR: ABNORMAL_TERMINATION_IN_LNSRCH,122,1586,428.632,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM12e010,12,010,0.132631016007428,0.0182450345269126,0.0305742982069751,0.8692510065388,47.0586457438278,1.7687637444627,698.799622280899,0.12503670243437,0.0022011283142587,6.69382685341995,3.52811621182906,0.0508553206552881,0.0255478377243121,0.0533187994809546,0.0543997328497598,2.7957858742418198e-11,9.71182742339171e-17,1.0728473536437799e-13,9.845607406913739e-13,0.160769592182463,0.0010580436152196,0.0268964945063131,0.0596352947520755,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,68,884,238.12,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM12e015,12,015,0.117291517182988,0.0096744763420639,0.0321021740346956,1.04025185202327,54.1620049187655,1.81053517484506,1725.69946604903,0.206227177330306,0.0028025582375449,10.7991074364107,5.3738184139963,0.0804138035679012,0.0329692359875177,0.0859564954484072,0.078639932380811,1.53672169947657e-10,7.91672849808588e-07,5.76757643137696e-13,2.94839543635776e-14,0.242135632653262,0.79189808028692,0.0497169687906715,0.0160680109657361,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,115,1495,392.615,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM12e020,12,020,0.0978561508503266,0.0001025531762214,0.029055766240782,0.595910831335932,0.125932240584158,1.8107171400427,4980.43923547778,0.280580263177843,0.0050819548303462,18.0527826510538,9.53403158125121,0.109605685376335,0.0597840094221793,0.125525420035642,0.134716122863842,8.75273994451199e-14,1.2277324291444199e-12,2.41597590205341e-21,8.67115887117918e-18,0.0248612661059393,0.0641637214956411,1.24688334310283e-06,0.0002727377640012,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,76,988,260.925,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM12e025,12,025,0.173142984254392,0.0367761358714754,0.0297441008156941,1.37518811382318,132.383740212387,1.99382647089476,3072.00684502062,0.304095424998818,0.0060893134851278,12.6938488284814,8.6464596387736,0.108388941598452,0.0618977737223853,0.0928929113556862,0.118744670389211,1.5269765999154e-08,7.9617552345589e-05,9.54232502769182e-08,6.321482540319721e-14,0.540509150713274,0.955336080195862,0.665780334944465,0.0218798772316,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,93,1209,312.283,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM18e005,18,005,0.179343080748494,0.0392675430782997,0.0321479347302177,0.532463629951716,6.42061634644726,1.84421623438519,138.543548628082,0.0758911003314575,0.0020165414127625,3.50259120828428,1.46018123860184,0.03182893018647,0.0228059480491497,0.0292035892325062,0.0239642598526289,9.62825844001152e-09,3.66813445021051e-07,1.24071776589585e-05,6.32406786258269e-05,0.0195911067652717,0.0972728995013204,0.301615988235687,0.443118217257771,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,101,1313,315.764,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM18e010,18,010,0.12561934202582,0.0056637642663878,0.0300088678051857,0.559927906446555,10.2750905247892,1.86077480922353,498.794788204616,0.151056121185004,0.0030861887667208,6.78883431893267,3.29701702984921,0.0560697057350041,0.0339641513781759,0.0563150005077886,0.0501617195731633,7.23650861050994e-07,4.30444444881626e-07,2.19487132570336e-06,5.363183784668e-06,0.124984351669474,0.103329741158104,0.182050439798692,0.23916697132754,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,84,1092,263.37,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM18e015,18,015,0.164986621024191,0.0273115337983336,0.0328167236484649,0.576166281708539,2.16031016638106,1.77020124204751,1112.55554251353,0.192556235262175,0.0029675382434074,9.91878224430287,6.41210859718406,0.0756276247513383,0.0340388094928047,0.0720178179484287,0.0950237940086971,1.86252805386044e-06,0.0035876385923035,0.0001508034585754,4.24961024486454e-07,0.172644129894103,0.80964768898746,0.525540368714143,0.102833940668951,1,1000,100,1,1,1,L-BFGS-B,1,,NEW_X,128,1664,400.661,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM18e020,18,020,0.0936247762571159,0.0001,0.0400579655047072,0.934727651616603,29.7034504035217,1.67828336962257,1678.56154697575,0.296540631333387,0.0045285974372477,13.3696393674404,4.94619230856867,0.106987776989344,0.0532743247226438,0.105228150152718,0.0719508992983253,2.17040993152363e-12,8.16689904275014e-07,2.29810140110475e-08,1.32639335189123e-05,0.0001081749644178,0.130476034156153,0.0298792701656394,0.306931676604942,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,95,1235,295.339,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
EM18e025,18,025,0.104508174236072,0.0051185448793051,0.0315325753236708,0.612176005178912,8.56644859549359,1.7030256706432,2621.51896058159,0.2780693231328,0.0051298556420291,15.5302398660259,9.05288736581048,0.104769097519129,0.0495594093356072,0.107983069958381,0.129954169492955,3.5192628533792303e-09,0.0003401507963721,1.06381021254349e-05,1.0760982708009e-08,0.0116709808201157,0.603656917892779,0.289555464563395,0.020705049565336,1,1000,100,1,1,1,L-BFGS-B,1,,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,93,1209,290.844,"* Distintas cotas en K_S, K_N, bet_mx, con rto a primeras pruebas (3.09.2021 y 17.09.2021)."
